Title,Year,Rating
Nosferatu,2024,3.7
Everything Everywhere All At Once,2022,4.3
Mare Of Easttown,2021,4.2
Hamilton,2020,4.2
Little Women,2019,4.2
La La Land,2016,4.1
Manchester By The Sea,2016,4.1
The Grand Budapest Hotel,2014,4.2
What We Do In The Shadows,2014,4.1
The Babadook,2014,3.3
The Wolf Of Wall Street,2013,4
The Purge,2013,2.7
The Great Gatsby,2013,3.4
The Cabin In The Woods,2011,3.4
Drive,2011,3.9
Inception,2010,4.2
Hot Tub Time Machine,2010,2.8
Twilight,2008,3
Milk,2008,3.8
Mamma Mia!,2008,3.8
Wall-E,2008,4.2
Taken,2008,3.5
27 Dresses,2008,3.3
There Will Be Blood,2007,4.5
No Country For Old Men,2007,4.3
The Devil Wears Prada,2006,3.8
Pan's Labyrinth,2006,4.2
Little Miss Sunshine,2006,4.2
Rent,2005,3.4
The Spongebob Squarepants Movie,2004,3.9
The Manchurian Candidate,2004,3.3
The Notebook,2004,3.8
Mean Girls,2004,3.8
Love Actually,2003,3.5
28 Days Later,2002,3.7
Punch-Drunk Love,2002,4
Spider-Man,2002,3.8
A Beautiful Mind,2001,3.9
The Lord Of The Rings: The Fellowship Of The Ring,2001,4.4
The Fast And The Furious,2001,3.4
Amelie,2001,4.2
Shrek,2001,4.1
Final Destination,2000,3.2
Erin Brockovich,2000,3.9
American Psycho,2000,3.8
Fight Club,1999,4.3
The Iron Giant,1999,4.3
Eyes Wide Shut,1999,4
Notting Hill,1999,3.7
The Blair Witch Project,1999,3.3
Saving Private Ryan,1998,4.2
Ring,1998,3.6
The Big Lebowski,1998,4.1
Titanic,1997,3.8
Men In Black,1997,3.7
Jerry Maguire,1996,3.6
Mission: Impossible,1996,3.6
Twister,1996,3.3
Se7en,1995,4.4
Clueless,1995,3.7
Apollo 13,1995,3.8
The Shawshank Redemption,1994,4.6
Speed,1994,3.7
Pulp Fiction,1994,4.3
Mrs. Doubtfire,1993,3.7
Dazed And Confused,1993,3.9
My Cousin Vinny,1992,3.9
Thelma And Louise,1991,4.2
The Silence Of The Lambs,1991,4.3
Goodfellas,1990,4.5
Steel Magnolias,1989,3.8
When Harry Met Sally,1989,4.1
Do The Right Thing,1989,4.4
A Fish Called Wanda,1988,3.7
My Neighbor Totoro,1988,4.2
The Unbearable Lightness Of Being,1988,3.7
Robocop,1987,3.9
Top Gun,1986,3.5
Back To The Future,1985,4.2
The Natural,1984,3.5
Footloose,1984,3.3
Blade Runner,1982,4.1
E.T. The Extra-Terrestial,1982,3.8
The Shining,1980,4.2
Alien,1979,4.3
Jaws,1975,3.9
The Godfather,1972,4.5
Rosemary's Baby,1968,4.2
Dr. Strangelove,1964,4.3
West Side Story,1961,3.8
Inherit The Wind,1960,4
Some Like It Hot,1959,4.3
